Distance_(pixels),Gray_Value
877,54.9087
878,54.6825
879,53.7063
880,51.8413
881,49.8889
882,46.8492
883,44.2222
884,41.7341
885,39.7024
886,38.5556
887,37.9048
888,38.2619
889,38.8294
890,39.5913
891,39.5238
892,38.6468
893,37.3135
894,36.2500
895,35.4087
896,35.0357
897,34.6190
898,35.2857
899,35.3294
900,35.5357
901,35.1825
902,34.6944
903,34.4444
904,34.6667
905,35.2857
906,37.0317
907,37.4484
908,37.8016
909,37.8413
910,37.6230
911,36.7937
912,36.1468
913,35.5238
914,35.0675
915,35.1746
916,35.9921
917,37.1310
918,38.6905
919,39.6389
920,40.2500
921,40.3770
922,40.1865
923,39.7262
924,39.3373
925,39.0675
926,39.1984
927,39.5952
928,39.9563
929,40.2857
930,41.2024
931,41.9841
932,42.8016
933,43.1944
934,44.4008
935,46.5238
936,48.9802
937,51.0119
938,51.6865
939,51.5952
940,52.3016
941,53.1786
942,52.9563
943,51.6111
944,51.2619
945,51.6032
946,51.6746
947,51.7659
948,52.1230
949,52.4325
950,53.6746
951,55.5476
952,57.4563
953,58.1786
954,55.6349
955,52.0556
956,49.8373
957,50.4921
958,52.6746
959,54.4365
960,54.1032
961,52.2500
962,47.4802
963,45.6548
964,44.3373
965,43.8095
966,44.1865
967,44.4087
968,44.5556
969,44.4603
970,43.3095
971,41.6468
972,40.3730
973,39.7302
974,39.9048
975,39.6905
976,38.7460
977,37.6944
978,37.0992
979,35.0556
980,32.8016
981,31.1865
982,30.1706
983,28.9921
984,27.9802
985,27.2460
986,26.9127
987,27.1667
988,28.5119
989,29.5516
990,29.0040
991,27.0198
992,25.8135
993,25.8214
994,25.2698
995,25.2579
996,25.4365
997,25.4127
998,25.1905
999,24.7103
1000,24.5357
1001,24.4286
1002,25.0079
1003,24.9841
1004,25.2937
1005,25.3770
1006,26.0635
1007,26.9722
1008,28.5437
1009,29.7976
1010,30.5556
1011,30.6468
1012,31.1746
1013,31.8175
1014,32.6111
1015,32.8452
1016,32.9722
1017,32.5476
1018,31.8651
1019,30.9246
1020,30.4206
1021,31.1111
1022,33.2262
1023,35.5357
1024,37.0437
1025,37.3175
1026,37.9563
1027,38.3690
1028,39.0198
1029,39.8730
1030,40.4603
1031,40.4087
1032,39.9563
1033,39.3968
1034,37.6508
1035,37.5913
1036,38.1071
1037,38.2262
1038,37.8373
1039,36.9802
1040,36.7143
1041,37.0317
1042,38.9643
